group,n,mae_form,mae_band
SG12_Al0.5_Ga0.4,1,0.00826020085446938,0.06949345034079402
SG12_Al0.5_Ga0.5,1,0.00528078704472635,0.027237669294132072
SG12_Al0.6_Ga0.4,3,0.0044611237285117995,0.07306898837068261
SG12_Al0.8_Ga0.0,1,0.017823902253194635,0.3065423087864292
SG12_Al0.8_Ga0.1,1,0.010472956755525453,0.14552749969748913
SG12_Al0.8_Ga0.2,2,0.00477700570616591,0.04212510685150139
SG12_Al0.9_Ga0.0,1,0.001833248450758898,0.00024291330313097603
SG12_Al0.9_Ga0.1,1,0.004404650104893309,0.20873431014932464
SG12_Al1.0_Ga0.0,1,0.012708237108201972,0.012178077714565916
SG167_Al0.0_Ga0.1,2,0.0071390499345108105,0.020748737921260918
SG167_Al0.0_Ga0.3,1,0.0013534747042070194,0.060494037586597216
SG167_Al0.0_Ga0.4,2,0.0031833873483791686,0.053335567070988965
SG167_Al0.0_Ga0.8,2,0.0036317405782587547,0.05665944666501144
SG167_Al0.0_Ga0.9,2,0.0060131744554126,0.03805746154994072
SG167_Al0.1_Ga0.8,1,0.011142648418336232,0.0002006996787802251
SG167_Al0.2_Ga0.2,1,0.00323582217561616,0.03390174990107053
SG167_Al0.2_Ga0.4,2,0.02304261478795583,0.05808815061031125
SG167_Al0.2_Ga0.7,1,0.03224763035140188,0.09688199625738347
SG167_Al0.2_Ga0.8,2,0.004773416746706706,0.05234816861268632
SG167_Al0.3_Ga0.4,2,0.010098511370160837,0.022877397820763923
SG167_Al0.3_Ga0.7,4,0.002958838527458249,0.020561661049256497
SG167_Al0.4_Ga0.0,3,0.02261532043551538,0.06913945562455896
SG167_Al0.4_Ga0.2,1,0.03919347640108156,0.15692327835163367
SG167_Al0.4_Ga0.3,3,0.01282579725286411,0.05156755936166727
SG167_Al0.4_Ga0.4,1,0.025419362155229303,0.014299637947949861
SG167_Al0.4_Ga0.5,1,0.0007873180749944919,0.03908634910285702
SG167_Al0.4_Ga0.6,3,0.001304551370974405,0.02516766997642561
SG167_Al0.5_Ga0.0,1,0.015407808785711297,0.0007849784403766158
SG167_Al0.5_Ga0.1,1,0.04445311739920782,0.05856415557316419
SG167_Al0.5_Ga0.2,2,0.013853583802454814,0.03586057661853048
SG167_Al0.5_Ga0.3,1,0.018123642267368623,0.09820763854576464
SG167_Al0.5_Ga0.5,4,0.0029510611922972455,0.08495428255431192
SG167_Al0.6_Ga0.0,2,0.04311868840197908,0.06257153779668712
SG167_Al0.6_Ga0.1,2,0.011573524989141326,0.10509204691767815
SG167_Al0.6_Ga0.4,3,0.005064061742515291,0.017486653488274495
SG167_Al0.7_Ga0.0,2,0.02210859003613075,0.10078895711860225
SG167_Al0.7_Ga0.1,1,0.007996984625707054,0.02225781316652009
SG167_Al0.7_Ga0.2,1,0.011832499624154363,0.11941529355882352
SG167_Al0.7_Ga0.3,6,0.0024922315984269514,0.047079290160715846
SG167_Al0.8_Ga0.0,1,0.004625103768217537,0.011285506626743658
SG167_Al0.8_Ga0.1,8,0.01065917278397504,0.04946123849128681
SG167_Al0.8_Ga0.2,3,0.007808625047178808,0.11815646499611503
SG167_Al0.9_Ga0.0,1,0.008654626698912093,0.01582925215496278
SG167_Al0.9_Ga0.1,2,1.780106211000075e-05,0.0009521029451668994
SG194_Al0.0_Ga0.0,1,0.03300612429891872,0.05029373800838133
SG194_Al0.0_Ga0.1,2,0.01757546510064821,0.06936945357483115
SG194_Al0.0_Ga0.2,1,0.009485005545214309,0.05172980410995831
SG194_Al0.0_Ga0.4,2,0.0509710360956257,0.04201491709717925
SG194_Al0.0_Ga0.5,3,0.03173153545789556,0.0668877632768899
SG194_Al0.0_Ga0.6,4,0.016710956451434632,0.05125441833970881
SG194_Al0.0_Ga0.7,3,0.010262140877594758,0.06085860000276829
SG194_Al0.1_Ga0.4,2,0.025528297985518325,0.026989139768118398
SG194_Al0.1_Ga0.6,1,0.030959968607921384,0.14249985420264677
